no,lat,lng,vol
1,41.887904,-87.771064,24
2,41.756542,-87.617335,24
3,41.792663,-87.582231,17
4,41.849302,-87.622658,30
5,41.659177,-87.552112,24
6,41.885023,-87.675556,30
7,41.992042,-87.714036,16
8,41.974889,-87.669587,11
9,41.777072,-87.62526,13
10,41.890186,-87.632548,18
11,41.930851,-87.797915,13
12,41.955361,-87.669076,19
13,41.892668,-87.71135,11
14,41.773922,-87.673756,14
15,41.729262,-87.541841,14
16,41.700823,-87.642645,16
17,41.788454,-87.606097,14
18,41.822852,-87.691118,25
19,41.771775,-87.644579,28
20,41.89675,-87.623095,14
21,41.764348,-87.70478,18
22,41.810689,-87.596855,25
23,41.883192,-87.638103,22
24,41.946193,-87.741344,22
25,41.919237,-87.648548,10
26,41.766933,-87.610456,28
27,41.963061,-87.679019,13
28,41.878111,-87.634405,25
29,41.794244,-87.648908,26
30,41.939715,-87.667324,12
31,41.883162,-87.644644,24
32,41.852621,-87.715027,18
33,41.889649,-87.755407,30
34,41.881177,-87.6854,30
35,41.815858,-87.666235,22
36,41.883107,-87.649602,20
37,41.764877,-87.666635,24
38,41.994184,-87.748337,27
39,41.892388,-87.634088,23
40,41.780314,-87.703172,21
41,41.897747,-87.631275,15
42,41.757724,-87.663608,25
43,41.815505,-87.701939,10
44,41.876846,-87.633902,23
45,41.70242,-87.628153,24
46,41.722709,-87.55587,25
47,41.9753,-87.750239,23
48,41.879284,-87.641796,20
49,41.744086,-87.595315,12
50,41.699096,-87.6777,25
51,41.924462,-87.728691,12
52,41.838445,-87.615498,18
53,41.918295,-87.689798,22
54,41.851522,-87.726497,24
55,41.877446,-87.676545,27
56,41.761813,-87.683164,30
57,41.893306,-87.628117,26
58,41.895238,-87.716306,21
59,41.753377,-87.653813,16
60,41.828474,-87.65091,26
61,41.784837,-87.625446,25
62,41.889469,-87.631064,13
63,41.874199,-87.665037,19
64,41.836927,-87.695017,17
65,41.88133,-87.626189,20
66,41.76626,-87.574226,11
67,41.92195,-87.712021,29
68,41.723931,-87.614195,18
69,41.968273,-87.724989,20
70,41.79459,-87.684058,12
71,41.802072,-87.618178,13
72,41.813049,-87.665083,27
73,41.900144,-87.765583,12
74,41.767951,-87.576347,23
75,41.961009,-87.722889,25
76,41.808006,-87.712716,29
77,41.88602,-87.711158,13
78,41.822739,-87.696963,23
79,41.940634,-87.697862,22
80,41.802322,-87.600681,20
81,41.930915,-87.792906,27
82,41.855898,-87.661264,21
83,41.933649,-87.717233,27
84,41.866034,-87.624114,10
85,41.931846,-87.722476,28
86,41.742807,-87.614706,18
87,41.820171,-87.606798,29
88,41.882362,-87.668041,13
89,41.931174,-87.77358,10
90,41.919484,-87.769758,13
91,41.839562,-87.623493,28
92,41.758139,-87.630684,13
93,41.69184,-87.676796,27
94,41.75174,-87.605221,23
95,41.779519,-87.661134,23
96,41.878904,-87.641098,19
97,41.751887,-87.554734,17
98,41.944085,-87.766693,22
99,41.931002,-87.785687,19
100,41.994513,-87.663898,13
